Stock,Date,Prediction Date,Infered Close
META,24/06/2024,01/07/2024,428.5196838378906
AAPL,24/06/2024,01/07/2024,197.43768310546875
GOOG,24/06/2024,01/07/2024,169.8751220703125
AMZN,24/06/2024,01/07/2024,194.0777130126953
MSFT,24/06/2024,01/07/2024,372.11627197265625
NVDA,24/06/2024,01/07/2024,317.09674072265625
AMD,24/06/2024,01/07/2024,153.99261474609375
AAPL,21/06/2024,28/6/2024,218.630005
AMD,21/06/2024,28/6/2024,157.240005
AMZN,21/06/2024,28/6/2024,184.289993
GOOG,21/06/2024,28/6/2024,178.910004
META,21/06/2024,28/6/2024,506.0
MSFT,21/06/2024,28/6/2024,450.140015
NVDA,21/06/2024,28/6/2024,136.330002
AAPL,20/06/2024,27/6/2024,218.949997
AMD,20/06/2024,27/6/2024,159.229996
AMZN,20/06/2024,27/6/2024,185.0
GOOG,20/06/2024,27/6/2024,179.919998
META,20/06/2024,27/6/2024,510.75
MSFT,20/06/2024,27/6/2024,450.940002
NVDA,20/06/2024,27/6/2024,133.729996
AAPL,16/06/2024,23/6/2024,215.169998
AMD,16/06/2024,23/6/2024,161.339996
AMZN,16/06/2024,23/6/2024,183.720001
GOOG,16/06/2024,23/6/2024,178.729996
META,16/06/2024,23/6/2024,507.149994
MSFT,16/06/2024,23/6/2024,443.140015
NVDA,16/06/2024,23/6/2024,132.839996
AAPL,15/06/2024,22/6/2024,216.75
AMD,15/06/2024,22/6/2024,162.660004
AMZN,15/06/2024,22/6/2024,187.669998
GOOG,15/06/2024,22/6/2024,178.509995
META,15/06/2024,22/6/2024,509.359985
MSFT,15/06/2024,22/6/2024,443.390015
NVDA,15/06/2024,22/6/2024,129.800003
AAPL,14/06/2024,21/6/2024,220.199997
AMD,14/06/2024,21/6/2024,162.240005
AMZN,14/06/2024,21/6/2024,188.350006
GOOG,14/06/2024,21/6/2024,182.080002
META,14/06/2024,21/6/2024,514.01001
MSFT,14/06/2024,21/6/2024,443.399994
NVDA,14/06/2024,21/6/2024,126.879997
AAPL,13/06/2024,20/6/2024,207.160004
AMD,13/06/2024,20/6/2024,161.539993
AMZN,13/06/2024,20/6/2024,187.770004
GOOG,13/06/2024,20/6/2024,178.389999
META,13/06/2024,20/6/2024,507.600006
MSFT,13/06/2024,20/6/2024,432.820007
NVDA,13/06/2024,20/6/2024,122.870003
AAPL,12/06/2024,19/6/2024,197.300003
AMD,12/06/2024,19/6/2024,165.550003
AMZN,12/06/2024,19/6/2024,187.229996
GOOG,12/06/2024,19/6/2024,178.470001
META,12/06/2024,19/6/2024,502.660004
MSFT,12/06/2024,19/6/2024,428.079987
NVDA,12/06/2024,19/6/2024,123.099998
AAPL,09/06/2024,16/6/2024,196.940002
AMD,09/06/2024,16/6/2024,169.449997
AMZN,09/06/2024,16/6/2024,186.289993
GOOG,09/06/2024,16/6/2024,179.419998
META,09/06/2024,16/6/2024,498.910004
MSFT,09/06/2024,16/6/2024,426.279999
NVDA,09/06/2024,16/6/2024,121.692001
AAPL,08/06/2024,15/6/2024,196.5
AMD,08/06/2024,15/6/2024,169.509995
AMZN,08/06/2024,15/6/2024,185.0
GOOG,08/06/2024,15/6/2024,178.710007
META,08/06/2024,15/6/2024,502.820007
MSFT,08/06/2024,15/6/2024,425.309998
NVDA,08/06/2024,15/6/2024,125.586998
AAPL,07/06/2024,14/6/2024,196.899994
AMD,07/06/2024,14/6/2024,167.119995
AMZN,07/06/2024,14/6/2024,181.5
GOOG,07/06/2024,14/6/2024,177.970001
META,07/06/2024,14/6/2024,496.649994
MSFT,07/06/2024,14/6/2024,424.079987
NVDA,07/06/2024,14/6/2024,122.448997
AAPL,06/06/2024,13/6/2024,195.320007
AMD,06/06/2024,13/6/2024,164.830002
AMZN,06/06/2024,13/6/2024,179.820007
GOOG,06/06/2024,13/6/2024,175.190002
META,06/06/2024,13/6/2024,478.890015
MSFT,06/06/2024,13/6/2024,416.440002
NVDA,06/06/2024,13/6/2024,116.599998
AAPL,05/06/2024,12/6/2024,194.990005
AMD,05/06/2024,12/6/2024,171.080002
AMZN,05/06/2024,12/6/2024,178.699997
GOOG,05/06/2024,12/6/2024,175.860001
META,05/06/2024,12/6/2024,479.600006
MSFT,05/06/2024,12/6/2024,416.429993
NVDA,05/06/2024,12/6/2024,115.0
AAPL,02/06/2024,9/6/2024,192.570007
AMD,02/06/2024,9/6/2024,169.5
AMZN,02/06/2024,9/6/2024,179.210007
GOOG,02/06/2024,9/6/2024,174.419998
META,02/06/2024,9/6/2024,469.119995
MSFT,02/06/2024,9/6/2024,416.75
NVDA,02/06/2024,9/6/2024,112.717003
AAPL,01/06/2024,8/6/2024,192.179993
AMD,01/06/2024,8/6/2024,168.75
AMZN,01/06/2024,8/6/2024,181.339996
GOOG,01/06/2024,8/6/2024,176.690002
META,01/06/2024,8/6/2024,471.730011
MSFT,01/06/2024,8/6/2024,424.299988
NVDA,01/06/2024,8/6/2024,115.819
AAPL,31/05/2024,7/6/2024,192.25
AMD,31/05/2024,7/6/2024,168.479996
AMZN,31/05/2024,7/6/2024,184.080002
GOOG,31/05/2024,7/6/2024,178.229996
META,31/05/2024,7/6/2024,479.850006
MSFT,31/05/2024,7/6/2024,430.940002
NVDA,31/05/2024,7/6/2024,115.491997
AAPL,30/05/2024,6/6/2024,193.0
AMD,30/05/2024,6/6/2024,174.550003
AMZN,30/05/2024,6/6/2024,182.240005
GOOG,30/05/2024,6/6/2024,178.509995
META,30/05/2024,6/6/2024,480.859985
MSFT,30/05/2024,6/6/2024,430.820007
NVDA,30/05/2024,6/6/2024,114.939003
AAPL,26/05/2024,2/6/2024,190.580002
AMD,26/05/2024,2/6/2024,167.660004
AMZN,26/05/2024,2/6/2024,182.440002
GOOG,26/05/2024,2/6/2024,177.304001
META,26/05/2024,2/6/2024,479.850006
MSFT,26/05/2024,2/6/2024,431.059998
NVDA,26/05/2024,2/6/2024,106.474998
AAPL,25/05/2024,1/6/2024,191.0
AMD,25/05/2024,1/6/2024,173.139999
AMZN,25/05/2024,1/6/2024,184.759995
GOOG,25/05/2024,1/6/2024,179.910004
META,25/05/2024,1/6/2024,474.359985
MSFT,25/05/2024,1/6/2024,433.600006
NVDA,25/05/2024,1/6/2024,106.32
AAPL,24/05/2024,31/5/2024,174.710007
AMD,24/05/2024,31/5/2024,108.790001
AMZN,24/05/2024,31/5/2024,116.769997
GOOG,24/05/2024,31/5/2024,127.050003
META,24/05/2024,31/5/2024,253.570007
MSFT,24/05/2024,31/5/2024,322.589996
NVDA,24/05/2024,31/5/2024,315.200012
AAPL,23/05/2024,30/5/2024,191.919998
AMD,23/05/2024,30/5/2024,168.490005
AMZN,23/05/2024,30/5/2024,186.669998
GOOG,23/05/2024,30/5/2024,179.949997
META,23/05/2024,30/5/2024,473.200012
MSFT,23/05/2024,30/5/2024,426.769989
NVDA,23/05/2024,30/5/2024,952.0
AAPL,22/05/2024,29/5/2024,190.809998
AMD,22/05/2024,29/5/2024,169.720001
AMZN,22/05/2024,29/5/2024,185.300003
GOOG,22/05/2024,29/5/2024,177.494995
META,22/05/2024,29/5/2024,472.799988
MSFT,22/05/2024,29/5/2024,422.920013
NVDA,22/05/2024,29/5/2024,947.400024
AAPL,20/05/2024,27/5/2024,191.100006
AMD,20/05/2024,27/5/2024,168.059998
AMZN,20/05/2024,27/5/2024,187.309998
GOOG,20/05/2024,27/5/2024,176.339996
META,20/05/2024,27/5/2024,477.690002
MSFT,20/05/2024,27/5/2024,425.420013
NVDA,20/05/2024,27/5/2024,958.190002
AAPL,19/05/2024,26/5/2024,190.649994
AMD,19/05/2024,26/5/2024,159.690002
AMZN,19/05/2024,26/5/2024,186.720001
GOOG,19/05/2024,26/5/2024,174.046005
META,19/05/2024,26/5/2024,482.5
MSFT,19/05/2024,26/5/2024,423.809998
NVDA,19/05/2024,26/5/2024,948.619995
AAPL,18/05/2024,25/5/2024,188.300003
AMD,18/05/2024,25/5/2024,153.490005
AMZN,18/05/2024,25/5/2024,187.720001
GOOG,18/05/2024,25/5/2024,172.779999
META,18/05/2024,25/5/2024,472.540009
MSFT,18/05/2024,25/5/2024,417.48999
NVDA,18/05/2024,25/5/2024,916.51001
AAPL,17/05/2024,24/5/2024,187.100006
AMD,17/05/2024,24/5/2024,153.330002
AMZN,17/05/2024,24/5/2024,188.309998
GOOG,17/05/2024,24/5/2024,170.949997
META,17/05/2024,24/5/2024,473.350006
MSFT,17/05/2024,24/5/2024,418.350006
NVDA,17/05/2024,24/5/2024,909.97998
AAPL,16/05/2024,23/5/2024,185.089996
AMD,16/05/2024,23/5/2024,156.369995
AMZN,16/05/2024,23/5/2024,189.889999
GOOG,16/05/2024,23/5/2024,171.339996
META,16/05/2024,23/5/2024,477.5
MSFT,16/05/2024,23/5/2024,415.380005
NVDA,16/05/2024,23/5/2024,914.01001
AAPL,15/05/2024,22/5/2024,184.660004
AMD,15/05/2024,22/5/2024,154.089996
AMZN,15/05/2024,22/5/2024,191.699997
GOOG,15/05/2024,22/5/2024,172.440002
META,15/05/2024,22/5/2024,476.079987
MSFT,15/05/2024,22/5/2024,412.720001
NVDA,15/05/2024,22/5/2024,910.719971
AAPL,14/05/2024,21/5/2024,183.070007
AMD,14/05/2024,21/5/2024,155.330002
AMZN,14/05/2024,21/5/2024,188.429993
GOOG,14/05/2024,21/5/2024,171.908997
META,14/05/2024,21/5/2024,475.579987
MSFT,14/05/2024,21/5/2024,412.230011
NVDA,14/05/2024,21/5/2024,911.940002
